ens_id	gene_symbol	logFC	CI_L	CI_R	AveExpr	t	P_Value	adj_P_Val	B	neg_log_adj_P_Val
ENSG00000134548	SPX	-3.64770078351446	-7.43725284074389	0.141851273714975	2.00703841802291	-2.13452349617215	0.0576262710575595	0.822120509888324	-3.81556761718644	0.0850645170786193
ENSG00000197128	ZNF772	-3.16135277717255	-5.51906280129621	-0.803642753048892	-1.17886522644177	-2.97339209439538	0.0134555449800297	0.67067324092269	-3.45512376141274	0.173489021155177
ENSG00000113140	SPARC	-2.91582108127873	-5.64934854362162	-0.18229361893584	2.30031716835222	-2.36541333507468	0.0387556142163281	0.803439528768437	-3.54034667622652	0.0950468050368899
ENSG00000189334	S100A14	-2.85191427106565	-4.28446771764029	-1.41936082449101	1.35945755314174	-4.41463948354971	0.00119673180906338	0.306574161276027	-1.10700248096317	0.513464451204144
ENSG00000183778	B3GALT5	-2.85141503875375	-4.25785108076933	-1.44497899673817	3.72876040105972	-4.49583184428444	0.00105186293914548	0.293234474890463	-0.558844270769019	0.532784972044104
ENSG00000163395	IGFN1	-2.84960360805095	-6.64699453134287	0.947787315240977	-0.0172038628700846	-1.66405913148694	0.125998195065847	0.866851991302671	-4.28498255504023	0.0620550488303975
ENSG00000165376	CLDN2	-2.82552512097591	-4.50257157771758	-1.14847866423424	-1.85069908945088	-3.73614471798181	0.00363871891549781	0.433988336220972	-2.36044037576863	0.362521942337579
ENSG00000152439	ZNF773	-2.82519598213891	-4.65293485548901	-0.99745710878881	-1.10761965560927	-3.42770976592394	0.00613959807207865	0.510376365138838	-3.13928180818084	0.292109445430011
ENSG00000171877	FRMD5	-2.73391305765714	-3.27341051871599	-2.19441559659829	3.35224480571078	-11.2373757989065	3.919485710733e-07	0.00486830224069791	5.46359629407344	2.31262246713206
ENSG00000228078	HLA-U	-2.66026756169604	-4.91210923709686	-0.408425886295217	-1.18418981292067	-2.61973327882193	0.0249182136792481	0.793273790448119	-3.66076996698463	0.100576894449223
ENSG00000273079	GRIN2B	-2.63069534959598	-4.9858932675336	-0.27549743165835	0.363529499481087	-2.47692444343771	0.0319450940993094	0.800178181166937	-3.48001682635811	0.0968132949065222
ENSG00000184845	DRD1	-2.62545774942511	-3.87527217679312	-1.37564332205711	-0.814420245887398	-4.65831776800102	0.000814719867340745	0.273991584592831	-1.26758793836014	0.562262775942467
ENSG00000226539	AC012512.1	-2.61471795736275	-5.74178343645502	0.512347521729515	-1.2042276836142	-1.8542038775764	0.0923497439408969	0.848230639277364	-4.16405864370182	0.0714860442687149
ENSG00000267257	RP11-1151B14.4	-2.60644622306183	-6.31075616033543	1.09786371421177	-2.17812442877984	-1.56031061416815	0.148673655253324	0.881104540937673	-4.37924194443111	0.0549725605336214
ENSG00000148346	LCN2	-2.60288816852853	-8.00836293565099	2.80258659859393	-1.1423605538741	-1.06780334149282	0.309846330215701	0.926568383935097	-4.67784022019985	0.0331225227350446
