ens_id	gene_symbol	logFC	CI_L	CI_R	AveExpr	t	P_Value	adj_P_Val	B	neg_log_adj_P_Val
ENSG00000270022	RNU12	-2.78467100818161	-5.37693581743515	-0.192406198928064	-1.91471039361134	-2.3821227662066	0.037651420196185	0.999985647704691	-4.57582442465878	6.23316738553063e-06
ENSG00000165300	SLITRK5	-2.53985470797738	-6.62827432176378	1.54856490580903	-1.0826236139665	-1.37759964157617	0.197340958672923	0.999985647704691	-4.58964232504825	6.23316738553063e-06
ENSG00000158352	SHROOM4	-2.49107231076922	-4.80432865415588	-0.177815967382552	-0.946476490695573	-2.38798823766109	0.0372711401952389	0.999985647704691	-4.57178845419064	6.23316738553063e-06
ENSG00000121413	ZSCAN18	-2.41709631381703	-6.03982108446733	1.20562845683327	-1.53806863874227	-1.47954516150249	0.168731980500149	0.999985647704691	-4.58913916411285	6.23316738553063e-06
ENSG00000183850	ZNF730	-2.39163305138541	-5.05594275245032	0.272676649679501	-1.43384986309029	-1.99057915134114	0.0735418379513026	0.999985647704691	-4.57697490896971	6.23316738553063e-06
ENSG00000178568	ERBB4	-2.34018708410667	-5.09659290901857	0.416218740805232	-0.436832177874841	-1.88268225705434	0.0880876331416406	0.999985647704691	-4.58173364607718	6.23316738553063e-06
ENSG00000115252	PDE1A	-2.32541641253265	-4.08650921511099	-0.564323609954309	0.429526002841222	-2.92811481420458	0.0145585746137701	0.999985647704691	-4.56156071673277	6.23316738553063e-06
ENSG00000136274	NACAD	-2.32252711688893	-6.18344216506998	1.53838793129213	-1.23074405564273	-1.33395186343244	0.210786457333417	0.999985647704691	-4.59033522399499	6.23316738553063e-06
ENSG00000204362	RP11-380J14.1	-2.29759946567488	-4.6751675868749	0.079968655525136	-2.98268567020632	-2.14294469616458	0.05680456840851	0.999985647704691	-4.58026695120143	6.23316738553063e-06
ENSG00000103460	TOX3	-2.29759946567488	-4.80419289084321	0.208993959493449	-3.11947649356822	-2.03263797947344	0.0685068187968427	0.999985647704691	-4.58176506387806	6.23316738553063e-06
ENSG00000186020	ZNF529	-2.24581863955598	-4.27708005747867	-0.214557221633294	-1.5889999144076	-2.45176292307539	0.0333712076895195	0.999985647704691	-4.57428164545377	6.23316738553063e-06
ENSG00000253250	C8orf88	-2.14512760868143	-5.02656340975377	0.736308192390917	-1.49969307133115	-1.65087349619367	0.128698228728253	0.999985647704691	-4.58704903860592	6.23316738553063e-06
ENSG00000235385	GS1-600G8.5	-2.14512760868143	-4.27417427281456	-0.016080944548297	-3.0943897349896	-2.23427981880836	0.0485832914708369	0.999985647704691	-4.57916001493693	6.23316738553063e-06
ENSG00000279289	RP3-331H24.6	-2.12866313684602	-4.20878005659499	-0.0485462170970457	-1.6212159619427	-2.26928375081089	0.0457463602706453	0.999985647704691	-4.57714630363409	6.23316738553063e-06
ENSG00000100593	ISM2	-2.09352996129148	-5.17141779717609	0.984357874593126	-3.23188913757289	-1.50832872521071	0.161329466901921	0.999985647704691	-4.5890568393863	6.23316738553063e-06
ENSG00000236453	AC003092.1	-2.09352996129148	-4.42366632268794	0.236606400104979	-3.1338355057354	-1.9923583498174	0.0733219792094951	0.999985647704691	-4.58262876580621	6.23316738553063e-06
ENSG00000224982	TMEM233	-2.09352996129148	-4.78443458593311	0.597374663350146	-2.04459511838963	-1.72524384302906	0.114122290355625	0.999985647704691	-4.58619879552332	6.23316738553063e-06
ENSG00000133321	RARRES3	-1.94922384387785	-3.91431337897855	0.0158656912228448	-1.08788203544792	-2.1996267017107	0.0515582645773237	0.999985647704691	-4.57815790221371	6.23316738553063e-06
ENSG00000240233	RN7SL587P	-1.89078855466339	-4.28529080324043	0.503713693913646	-3.50291031761056	-1.75104507687052	0.109424495713884	0.999985647704691	-4.58629321737265	6.23316738553063e-06
ENSG00000202444	RNU5E-6P	-1.89078855466339	-4.66575343039697	0.884176321070181	-2.90334197742541	-1.51096736776454	0.160665159552185	0.999985647704691	-4.58931059237356	6.23316738553063e-06
ENSG00000237125	HAND2-AS1	-1.89078855466339	-4.83724245879228	1.05566534946549	-2.86023668433427	-1.42302629206271	0.184120947760154	0.999985647704691	-4.59038786736002	6.23316738553063e-06
ENSG00000265962	GACAT2	-1.83596309332427	-3.61907772039365	-0.052848466254882	-2.94518013893015	-2.28325435558759	0.0446593439142929	0.999985647704691	-4.5774080787634	6.23316738553063e-06
ENSG00000258667	HIF1A-AS2	-1.82155747308162	-4.21641179590303	0.573296849739791	-3.32006441511034	-1.68668269187367	0.121483451374548	0.999985647704691	-4.58699163368874	6.23316738553063e-06
ENSG00000112992	NNT	-1.82155747308162	-4.21041543264001	0.567300486476765	-0.96746193461673	-1.69091649827872	0.120654862540026	0.999985647704691	-4.58693725467598	6.23316738553063e-06
ENSG00000231672	DIRC3	-1.82155747308162	-6.11415157156943	2.47103662540619	-2.4074692494439	-0.94100659023053	0.368113904601223	0.999985647704691	-4.59574296080687	6.23316738553063e-06
ENSG00000258602	LINC01629	-1.82155747308162	-5.97435878590269	2.33124383973945	-3.17273739136994	-0.972683023238041	0.352861947270606	0.999985647704691	-4.59542700546852	6.23316738553063e-06
ENSG00000260025	RP11-490M8.1	-1.81036681815154	-4.33771101475256	0.71697737844947	-1.42888324261791	-1.58844360104803	0.142193803407839	0.999985647704691	-4.58695778745	6.23316738553063e-06
ENSG00000249306	LINC01411	-1.80823560713783	-3.46934094467611	-0.147130269599555	-1.65159253311193	-2.41394546185654	0.0356327763889846	0.999985647704691	-4.56865781773987	6.23316738553063e-06
